time,position
0,0
1,143363.5469
2,212534.4531
3,274936.0938
4,331225.25
5,381994.9063
6,427780.625
7,469065.9063
8,506287.375
9,539839.3125
10,570077.75
11,597324.1875
12,621868.875
13,643973.9375
14,663876.0625
15,681789
16,697905.6875
17,712400.5
18,725430.6875
19,737138.4375
20,747651.9375
21,757087.1875
22,765548.6875
23,773131
24,779919.375
25,785990.875
26,791414.9375
27,796254.5625
28,800566.3125
29,804401.4375
30,807806.1875
31,810822.3125
32,813487.5
33,815835.875
34,817898.0625
35,819701.9375
36,821272.4375
37,822632.3125
38,823802
39,824799.875
40,825642.625
41,826345.375
42,826921.5625
43,827383.625
44,827742.5625
45,828008.375
46,828190.0625
47,828295.875
48,828333.125
,
